s,0,-0.1,0.73,
j,1.07488,-0.487287,0.164445,2.02618,
j,1.07572,-0.487233,0.164352,2.02618,
j,1.07656,-0.487179,0.164259,2.02619,
j,1.0774,-0.487125,0.164165,2.02619,
j,1.07824,-0.487071,0.164072,2.02619,
j,1.07908,-0.487018,0.163979,2.02619,
j,1.07992,-0.486964,0.163885,2.02619,
j,1.08075,-0.486911,0.163792,2.02619,
j,1.08159,-0.486857,0.163699,2.0262,
j,1.08242,-0.486804,0.163605,2.0262,
j,1.08326,-0.486751,0.163512,2.0262,
j,1.08409,-0.486697,0.163418,2.0262,
j,1.08493,-0.486644,0.163325,2.0262,
j,1.08576,-0.486591,0.163231,2.0262,
j,1.08659,-0.486538,0.163138,2.0262,
j,1.08742,-0.486485,0.163044,2.02621,
j,1.08825,-0.486432,0.16295,2.02621,
j,1.08908,-0.48638,0.162857,2.02621,
j,1.08991,-0.486327,0.162763,2.02621,
j,1.09074,-0.486274,0.162669,2.02621,
j,1.09157,-0.486222,0.162576,2.02621,
j,1.0924,-0.486169,0.162482,2.02622,
j,1.09323,-0.486117,0.162388,2.02622,
j,1.09405,-0.486065,0.162294,2.02622,
j,1.09488,-0.486012,0.1622,2.02622,
j,1.0957,-0.48596,0.162107,2.02622,
j,1.09653,-0.485908,0.162013,2.02622,
j,1.09735,-0.485856,0.161919,2.02623,
j,1.09817,-0.485804,0.161825,2.02623,
j,1.099,-0.485753,0.161731,2.02623,
j,1.09982,-0.485701,0.161637,2.02623,
j,1.10064,-0.485649,0.161543,2.02623,
j,1.10146,-0.485598,0.161449,2.02623,
j,1.10228,-0.485546,0.161355,2.02623,
j,1.1031,-0.485495,0.16126,2.02624,
j,1.10392,-0.485443,0.161166,2.02624,
j,1.10473,-0.485392,0.161072,2.02624,
j,1.10555,-0.485341,0.160978,2.02624,
j,1.10637,-0.48529,0.160884,2.02624,
j,1.10718,-0.485239,0.160789,2.02624,
j,1.108,-0.485188,0.160695,2.02625,
j,1.10881,-0.485137,0.160601,2.02625,
j,1.10963,-0.485086,0.160506,2.02625,
