s,-0.1,-0.1,0.7,
j,0.985634,-0.436904,0.478851,1.83681,
j,0.987724,-0.436843,0.47647,1.83877,
j,0.989792,-0.436797,0.473886,1.84077,
j,0.991836,-0.436761,0.471139,1.84274,
j,0.993859,-0.436733,0.468379,1.84473,
j,0.995865,-0.436715,0.465627,1.84675,
j,0.997853,-0.436707,0.462813,1.84873,
j,0.999824,-0.436713,0.459926,1.85076,
j,1.00178,-0.436729,0.457067,1.85282,
j,1.00371,-0.436752,0.454226,1.85482,
j,1.00564,-0.43678,0.451439,1.85671,
j,1.00754,-0.43681,0.448785,1.85845,
j,1.00944,-0.43684,0.446294,1.86004,
j,1.01134,-0.436872,0.443971,1.86149,
j,1.01322,-0.436903,0.441811,1.8628,
j,1.0151,-0.436933,0.439803,1.86398,
j,1.01698,-0.436962,0.437937,1.86505,
j,1.01885,-0.436988,0.436201,1.86601,
j,1.02072,-0.437008,0.434585,1.86688,
j,1.02259,-0.437022,0.433077,1.86767,
j,1.02445,-0.437028,0.431671,1.86838,
j,1.02631,-0.437024,0.430355,1.86903,
j,1.02816,-0.437008,0.429124,1.86961,
j,1.03001,-0.436979,0.42797,1.87014,
j,1.03186,-0.436936,0.426888,1.87062,
j,1.0337,-0.436878,0.425871,1.87105,
j,1.03554,-0.436803,0.424914,1.87144,
j,1.03738,-0.436712,0.424012,1.8718,
j,1.03921,-0.436594,0.423379,1.87207,
j,1.04106,-0.436425,0.423407,1.87192,
j,1.04292,-0.436197,0.424156,1.87118,
j,1.04482,-0.435913,0.425619,1.87002,
j,1.04675,-0.435578,0.427604,1.86852,
j,1.0487,-0.435201,0.429877,1.86681,
j,1.05069,-0.434781,0.432313,1.86492,
j,1.05268,-0.434313,0.43484,1.86278,
j,1.0547,-0.433798,0.437439,1.86051,
j,1.05672,-0.433236,0.440111,1.85824,
j,1.05876,-0.432633,0.442745,1.85607,
j,1.06081,-0.431989,0.445338,1.85404,
j,1.06287,-0.431295,0.448065,1.8521,
j,1.06493,-0.430544,0.451063,1.85023,
j,1.06702,-0.429738,0.454276,1.84842,
j,1.06912,-0.42887,0.457816,1.84664,
j,1.07125,-0.427945,0.461653,1.84502,
j,1.0734,-0.426959,0.465836,1.84355,
j,1.07558,-0.425902,0.470511,1.84223,
j,1.0778,-0.424767,0.475715,1.84099,
j,1.08004,-0.423536,0.481533,1.83971,
j,1.08233,-0.422196,0.488042,1.83829,
j,1.08465,-0.420742,0.495136,1.83671,
j,1.08702,-0.419179,0.502568,1.83501,
j,1.08943,-0.417521,0.510042,1.83326,
j,1.09187,-0.41578,0.51736,1.83149,
j,1.09432,-0.413963,0.524445,1.82972,
j,1.0968,-0.412089,0.531187,1.82812,
j,1.09928,-0.410174,0.537484,1.82674,
j,1.10177,-0.408231,0.543302,1.82549,
