s,0.1,-0.2,0.7,
j,0.719184,-0.190732,0.237912,1.65979,
j,0.71946,-0.189997,0.238463,1.66063,
j,0.719739,-0.189239,0.239007,1.66145,
j,0.720018,-0.188483,0.239519,1.6622,
j,0.720296,-0.187756,0.239995,1.66309,
j,0.720571,-0.187072,0.240433,1.66414,
j,0.720841,-0.186439,0.240827,1.6652,
j,0.721105,-0.185866,0.241176,1.66619,
j,0.721364,-0.185362,0.24148,1.66708,
j,0.721617,-0.184978,0.241662,1.6679,
j,0.721857,-0.184742,0.241723,1.66868,
j,0.722083,-0.184639,0.241716,1.66941,
j,0.722297,-0.184653,0.241666,1.67009,
j,0.722503,-0.184772,0.24159,1.67098,
j,0.722703,-0.184975,0.241498,1.6721,
j,0.722898,-0.185246,0.241396,1.67352,
j,0.723089,-0.185561,0.241289,1.67519,
j,0.723278,-0.1859,0.241174,1.67689,
j,0.723463,-0.186249,0.241049,1.67853,
j,0.723647,-0.186603,0.240922,1.6803,
j,0.72383,-0.186904,0.240871,1.68216,
j,0.724019,-0.187113,0.240893,1.68394,
j,0.724216,-0.187245,0.240948,1.68581,
j,0.724418,-0.187307,0.241017,1.68777,
j,0.724622,-0.187303,0.241085,1.68964,
j,0.724829,-0.187251,0.241154,1.6916,
j,0.725037,-0.187156,0.24122,1.69364,
j,0.725245,-0.187025,0.24128,1.69559,
j,0.725453,-0.186868,0.241328,1.69737,
j,0.72566,-0.186695,0.241365,1.69896,
j,0.725867,-0.186516,0.241388,1.70037,
j,0.726074,-0.186344,0.241406,1.70184,
j,0.72628,-0.186182,0.241419,1.70342,
j,0.726485,-0.186031,0.241425,1.70495,
j,0.726689,-0.185893,0.241424,1.70637,
j,0.72689,-0.185771,0.241415,1.70765,
j,0.72709,-0.185673,0.241403,1.70904,
j,0.727289,-0.185596,0.241387,1.71056,
j,0.727487,-0.185535,0.241365,1.71205,
j,0.727684,-0.185491,0.241334,1.71345,
j,0.72788,-0.185467,0.241299,1.71496,
j,0.728075,-0.185458,0.241263,1.71661,
j,0.728269,-0.185458,0.241221,1.71823,
j,0.728462,-0.185466,0.241171,1.71974,
j,0.728654,-0.185482,0.241113,1.72111,
j,0.728845,-0.185506,0.241045,1.72234,
j,0.729034,-0.185539,0.240969,1.72343,
j,0.729222,-0.18558,0.240884,1.7244,
j,0.729409,-0.18563,0.240791,1.72525,
j,0.729595,-0.18569,0.240699,1.72625,
j,0.729781,-0.185755,0.24061,1.72742,
j,0.729966,-0.185818,0.240521,1.7286,
j,0.730151,-0.185877,0.240429,1.72973,
j,0.730336,-0.185931,0.240333,1.73076,
j,0.730519,-0.185982,0.240233,1.7317,
j,0.730703,-0.186028,0.24013,1.73252,
j,0.730885,-0.186072,0.240022,1.73326,
j,0.731068,-0.186114,0.239911,1.7339,
j,0.73125,-0.186201,0.23972,1.73451,
j,0.731426,-0.186359,0.23945,1.7351,
j,0.731594,-0.186573,0.239146,1.73567,
j,0.731757,-0.186829,0.238831,1.7362,
j,0.731917,-0.187118,0.238524,1.73694,
j,0.732076,-0.187422,0.238232,1.73791,
j,0.732236,-0.187774,0.237877,1.73898,
j,0.732391,-0.188235,0.23738,1.74012,
j,0.732533,-0.18881,0.236785,1.74129,
j,0.732664,-0.189467,0.236168,1.74267,
j,0.73279,-0.190173,0.235563,1.74426,
j,0.732914,-0.190897,0.234981,1.74589,
j,0.733038,-0.191615,0.234425,1.74745,
j,0.733163,-0.192309,0.233898,1.74891,
j,0.733292,-0.193013,0.233324,1.75029,
j,0.733418,-0.19374,0.2327,1.7516,
j,0.73354,-0.194469,0.232073,1.75282,
j,0.733662,-0.19518,0.231465,1.75394,
j,0.733784,-0.195858,0.230884,1.75497,
j,0.733909,-0.196491,0.230336,1.75589,
j,0.734038,-0.19707,0.229822,1.75673,
j,0.734171,-0.197587,0.229341,1.75748,
j,0.734308,-0.19804,0.228892,1.75815,
j,0.73445,-0.198426,0.228475,1.75874,
j,0.734597,-0.198745,0.228088,1.75926,
j,0.734748,-0.199,0.227729,1.75972,
j,0.734903,-0.199193,0.227396,1.76011,
j,0.735063,-0.19933,0.227088,1.76045,
j,0.735226,-0.199415,0.226802,1.76073,
j,0.735393,-0.199454,0.226537,1.76097,
j,0.735564,-0.199455,0.226291,1.76117,
j,0.735738,-0.199423,0.226062,1.76134,
j,0.735914,-0.199365,0.225848,1.76147,
j,0.736094,-0.199286,0.225648,1.76157,
j,0.736275,-0.199193,0.225459,1.76165,
j,0.736458,-0.199089,0.225281,1.76172,
j,0.736643,-0.198981,0.225111,1.76176,
j,0.73683,-0.198871,0.224949,1.76179,
j,0.737017,-0.198717,0.22487,1.76178,
j,0.737212,-0.198496,0.224869,1.76171,
j,0.737416,-0.198226,0.224901,1.7616,
j,0.737625,-0.197921,0.224943,1.76147,
j,0.737837,-0.197595,0.224985,1.76132,
j,0.738051,-0.197261,0.225022,1.76116,
j,0.738265,-0.196927,0.225052,1.761,
j,0.738479,-0.196605,0.225073,1.76084,
j,0.738692,-0.196299,0.225084,1.76069,
j,0.738903,-0.196017,0.225086,1.76054,
j,0.739114,-0.195763,0.225087,1.76064,
j,0.739323,-0.195537,0.225088,1.76101,
j,0.739531,-0.195333,0.225086,1.76148,
j,0.739738,-0.195153,0.225078,1.76197,
j,0.739942,-0.194997,0.225062,1.76244,
j,0.740146,-0.194866,0.225035,1.76288,
j,0.740347,-0.194761,0.224998,1.76328,
j,0.740547,-0.19468,0.224951,1.76364,
j,0.740745,-0.194623,0.224894,1.76396,
j,0.740942,-0.194588,0.224828,1.76424,
j,0.741137,-0.194575,0.224753,1.76449,
j,0.74133,-0.194579,0.22467,1.76472,
j,0.741522,-0.194598,0.224581,1.76492,
j,0.741713,-0.194629,0.224485,1.76511,
j,0.741903,-0.194671,0.224383,1.76527,
j,0.742091,-0.19472,0.224277,1.76542,
j,0.742278,-0.194774,0.224166,1.76556,
j,0.742465,-0.194831,0.224052,1.76568,
j,0.742651,-0.194889,0.223934,1.76579,
j,0.742836,-0.194946,0.223814,1.7659,
j,0.74302,-0.195001,0.223692,1.76599,
j,0.743204,-0.195052,0.223569,1.76607,
j,0.743388,-0.195099,0.223445,1.76615,
j,0.743572,-0.195141,0.223319,1.76621,
j,0.743755,-0.195177,0.223194,1.76627,
j,0.743938,-0.195206,0.223068,1.76633,
j,0.744121,-0.19523,0.222942,1.76638,
j,0.744303,-0.195248,0.222816,1.76642,
j,0.744486,-0.195261,0.22269,1.76645,
j,0.744669,-0.195268,0.222565,1.76648,
j,0.744852,-0.19527,0.22244,1.76651,
j,0.745034,-0.195269,0.222315,1.76653,
j,0.745217,-0.195265,0.222191,1.76655,
j,0.745399,-0.195259,0.222067,1.76657,
j,0.745582,-0.19525,0.221943,1.76658,
j,0.745764,-0.19524,0.22182,1.76659,
j,0.745946,-0.195228,0.221696,1.7666,
j,0.746129,-0.195215,0.221574,1.76661,
j,0.746311,-0.195202,0.221451,1.76662,
j,0.746493,-0.195189,0.221328,1.76662,
j,0.746675,-0.195176,0.221206,1.76663,
j,0.746857,-0.195163,0.221084,1.76663,
j,0.747039,-0.19515,0.220962,1.76663,
j,0.747221,-0.195138,0.22084,1.76664,
j,0.747403,-0.195126,0.220718,1.76664,
j,0.747584,-0.195116,0.220596,1.76664,
j,0.747766,-0.195106,0.220474,1.76664,
j,0.747947,-0.195097,0.220351,1.76664,
j,0.748128,-0.195089,0.220229,1.76665,
j,0.748309,-0.195081,0.220107,1.76665,
j,0.74849,-0.195074,0.219985,1.76665,
j,0.748671,-0.195068,0.219863,1.76665,
j,0.748852,-0.195062,0.219741,1.76665,
j,0.749032,-0.195057,0.219619,1.76666,
