s,0,0,0.7,
j,0.627437,-0.0858976,-0.0520946,0.354568,
j,0.627198,-0.0881695,-0.0544553,0.360021,
j,0.626942,-0.090487,-0.0568766,0.365513,
j,0.626679,-0.0928429,-0.0594371,0.371015,
j,0.6264,-0.0952561,-0.0622382,0.376557,
j,0.626107,-0.0977272,-0.065082,0.382234,
j,0.625809,-0.100242,-0.0680453,0.387977,
j,0.625504,-0.102789,-0.0710224,0.393793,
j,0.625203,-0.105347,-0.0738948,0.399729,
j,0.624913,-0.107893,-0.0766404,0.405778,
j,0.624636,-0.110408,-0.0792566,0.411912,
j,0.624373,-0.112873,-0.0817448,0.418097,
j,0.624124,-0.115275,-0.0841077,0.424298,
j,0.623883,-0.117616,-0.0865607,0.430392,
j,0.623641,-0.119903,-0.0890326,0.436373,
j,0.623402,-0.122133,-0.0914061,0.442287,
j,0.623169,-0.124317,-0.0936565,0.448257,
j,0.622945,-0.126456,-0.095782,0.454289,
j,0.622732,-0.128537,-0.0977855,0.460302,
j,0.622528,-0.130556,-0.0996704,0.466249,
j,0.622335,-0.132509,-0.10144,0.472103,
j,0.62215,-0.134395,-0.1031,0.477846,
j,0.621974,-0.136214,-0.104652,0.483466,
j,0.621805,-0.13797,-0.106101,0.488954,
j,0.621644,-0.139662,-0.107452,0.494306,
j,0.62149,-0.141294,-0.108708,0.499519,
j,0.621342,-0.142869,-0.109873,0.50459,
j,0.6212,-0.144389,-0.110951,0.509521,
j,0.621063,-0.145856,-0.111947,0.514312,
j,0.620931,-0.147274,-0.112864,0.518963,
j,0.620804,-0.148645,-0.113706,0.523478,
j,0.620682,-0.149972,-0.114477,0.52786,
j,0.620564,-0.151257,-0.11518,0.53211,
j,0.620449,-0.152502,-0.115819,0.536232,
j,0.620339,-0.153708,-0.116398,0.540229,
j,0.620228,-0.15489,-0.11713,0.544026,
j,0.620106,-0.156084,-0.11796,0.547784,
j,0.619976,-0.157343,-0.118757,0.551863,
j,0.619843,-0.158665,-0.119491,0.556242,
j,0.619708,-0.160058,-0.120363,0.560792,
j,0.619563,-0.161547,-0.121317,0.565596,
j,0.61941,-0.163131,-0.122434,0.570527,
j,0.619241,-0.164831,-0.123838,0.575551,
j,0.619053,-0.16667,-0.125334,0.580849,
j,0.618845,-0.168716,-0.127169,0.586684,
j,0.618609,-0.171014,-0.129404,0.593103,
j,0.618347,-0.173551,-0.131719,0.600092,
j,0.61807,-0.176318,-0.134322,0.60752,
j,0.61777,-0.179339,-0.137057,0.615564,
j,0.617459,-0.182578,-0.139861,0.624104,
j,0.617138,-0.186011,-0.142818,0.632992,
j,0.616806,-0.189623,-0.145735,0.642329,
j,0.616474,-0.193368,-0.148651,0.651949,
j,0.616137,-0.197231,-0.151686,0.661777,
j,0.615793,-0.201204,-0.154659,0.671947,
j,0.615449,-0.205245,-0.157614,0.682306,
j,0.615105,-0.209306,-0.160472,0.692692,
j,0.614765,-0.213362,-0.163098,0.703202,
j,0.614433,-0.217401,-0.165458,0.713952,
j,0.614112,-0.221383,-0.167557,0.724802,
j,0.613804,-0.22526,-0.169409,0.735548,
j,0.613508,-0.228999,-0.171032,0.746071,
j,0.613222,-0.232577,-0.172443,0.756295,
j,0.612944,-0.235978,-0.17366,0.766171,
j,0.612673,-0.239192,-0.174701,0.775664,
j,0.612407,-0.242213,-0.175583,0.784751,
j,0.612144,-0.24504,-0.176323,0.793417,
j,0.611884,-0.247674,-0.176934,0.801656,
j,0.611625,-0.25012,-0.177431,0.809465,
j,0.611366,-0.252384,-0.177827,0.816846,
j,0.611106,-0.254474,-0.178133,0.823807,
j,0.610846,-0.256399,-0.17836,0.830356,
j,0.610585,-0.258169,-0.178518,0.836507,
j,0.610319,-0.259807,-0.178809,0.842211,
j,0.610039,-0.26135,-0.179412,0.847442,
j,0.609741,-0.262823,-0.180182,0.852285,
j,0.609429,-0.26423,-0.180947,0.85683,
j,0.609108,-0.265598,-0.181647,0.861308,
j,0.608781,-0.266933,-0.182263,0.865757,
j,0.608451,-0.26825,-0.182794,0.870266,
j,0.608117,-0.269559,-0.183433,0.874743,
j,0.607773,-0.270869,-0.184359,0.879009,
j,0.607411,-0.272213,-0.185428,0.883257,
j,0.607035,-0.273616,-0.186467,0.887738,
j,0.606649,-0.275088,-0.187414,0.89256,
j,0.60626,-0.276616,-0.188439,0.89751,
j,0.605861,-0.278207,-0.189521,0.902592,
j,0.605452,-0.279884,-0.190726,0.907905,
j,0.60503,-0.281646,-0.192182,0.913275,
j,0.604595,-0.283466,-0.193733,0.918569,
j,0.604151,-0.28534,-0.195202,0.923947,
j,0.603701,-0.287256,-0.196719,0.92934,
j,0.603247,-0.289187,-0.198251,0.934621,
j,0.602791,-0.291101,-0.199673,0.939757,
j,0.602333,-0.292999,-0.200947,0.944918,
j,0.601874,-0.294878,-0.202254,0.950043,
j,0.601408,-0.29673,-0.203774,0.954952,
j,0.600928,-0.298559,-0.205565,0.959577,
j,0.600431,-0.300368,-0.207637,0.963904,
j,0.599917,-0.30215,-0.20979,0.967996,
j,0.59939,-0.303911,-0.211836,0.972108,
j,0.598856,-0.305646,-0.213896,0.976217,
j,0.598315,-0.307334,-0.21594,0.98021,
j,0.597765,-0.308992,-0.218035,0.984205,
j,0.597204,-0.310619,-0.22013,0.98821,
j,0.596633,-0.312227,-0.222279,0.992275,
j,0.59605,-0.313814,-0.224427,0.996373,
j,0.595464,-0.315348,-0.226439,1.00039,
j,0.594879,-0.316805,-0.228271,1.00426,
j,0.594295,-0.318167,-0.229916,1.00794,
j,0.593714,-0.319423,-0.231382,1.01141,
j,0.593136,-0.320564,-0.232685,1.01465,
j,0.592559,-0.321587,-0.233842,1.01767,
j,0.591983,-0.322492,-0.234868,1.02045,
j,0.591402,-0.323311,-0.235779,1.02321,
j,0.590817,-0.324056,-0.236588,1.02598,
j,0.59023,-0.324722,-0.237306,1.02862,
j,0.589643,-0.325308,-0.237939,1.0311,
j,0.589055,-0.325818,-0.238497,1.03339,
j,0.588463,-0.326269,-0.239174,1.03544,
j,0.587855,-0.32671,-0.239966,1.03747,
j,0.587232,-0.327184,-0.240757,1.03975,
j,0.586587,-0.327758,-0.241684,1.04257,
j,0.585921,-0.32847,-0.242719,1.04601,
j,0.585237,-0.32933,-0.24391,1.04995,
j,0.58453,-0.330388,-0.245379,1.0545,
j,0.583799,-0.33166,-0.246965,1.0597,
j,0.583058,-0.333103,-0.248667,1.06519,
j,0.582306,-0.334699,-0.250398,1.07089,
j,0.581546,-0.336437,-0.25201,1.07691,
j,0.580787,-0.338271,-0.253448,1.08309,
j,0.580035,-0.340145,-0.254695,1.08918,
j,0.579292,-0.342014,-0.255755,1.09507,
j,0.578552,-0.343874,-0.256644,1.10091,
j,0.577816,-0.345706,-0.25738,1.10669,
j,0.577084,-0.347476,-0.257977,1.11225,
j,0.576353,-0.349188,-0.258453,1.11775,
j,0.575621,-0.350834,-0.258825,1.12316,
j,0.574885,-0.352419,-0.259106,1.12855,
j,0.574145,-0.353947,-0.25949,1.13383,
j,0.573397,-0.355409,-0.259979,1.13884,
j,0.572639,-0.35682,-0.260459,1.14378,
j,0.571873,-0.35818,-0.260885,1.14863,
j,0.5711,-0.359496,-0.261245,1.15349,
j,0.570322,-0.360764,-0.261535,1.1583,
j,0.569543,-0.361965,-0.261755,1.16292,
j,0.568765,-0.363086,-0.261911,1.16726,
j,0.567987,-0.364124,-0.262008,1.17131,
j,0.567208,-0.365075,-0.262054,1.17506,
j,0.566427,-0.365939,-0.262059,1.17851,
j,0.565645,-0.366717,-0.262032,1.18168,
j,0.564847,-0.36748,-0.262163,1.18496,
j,0.564009,-0.368352,-0.262647,1.18902,
j,0.56313,-0.369414,-0.263546,1.1941,
j,0.562201,-0.37074,-0.265038,1.20031,
j,0.561219,-0.372391,-0.267271,1.2076,
j,0.560182,-0.374408,-0.270079,1.21607,
j,0.5591,-0.376779,-0.273419,1.22539,
j,0.557983,-0.379469,-0.276988,1.23543,
j,0.556839,-0.382435,-0.280778,1.24594,
j,0.555677,-0.385618,-0.284631,1.2567,
j,0.554502,-0.388956,-0.288433,1.26758,
j,0.55332,-0.392393,-0.29207,1.27852,
j,0.552143,-0.395842,-0.295389,1.28928,
j,0.550977,-0.399215,-0.298336,1.29957,
j,0.549825,-0.402445,-0.300913,1.30927,
j,0.548684,-0.405482,-0.303144,1.31831,
j,0.547542,-0.408321,-0.305252,1.32684,
j,0.546383,-0.410989,-0.307462,1.33506,
j,0.5452,-0.413501,-0.309691,1.34314,
j,0.544,-0.41584,-0.311967,1.3509,
j,0.542782,-0.417994,-0.314402,1.35811,
j,0.541536,-0.419988,-0.317051,1.3649,
j,0.540257,-0.421852,-0.319758,1.37153,
j,0.538954,-0.423581,-0.322513,1.37789,
j,0.537631,-0.425159,-0.325235,1.38382,
j,0.536289,-0.426596,-0.327793,1.38949,
j,0.534929,-0.427897,-0.330316,1.39488,
j,0.533546,-0.429079,-0.3328,1.40007,
